,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,track id,artist id,genres_1,genres_2,genres_3,genres_4
0,Misty Roses,Astrud Gilberto,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.0069900000000000006,0.168,0.5429999999999999,116.211,158840,4,53.895230000000005,6,0,50RBM1j1Dw7WYmsGsWg9Tm,5rX2c1zow6hCph8PnnU3kF,adult standards,bossa nova,brazilian jazz,lounge
1,Never Ever,All Saints,spotify:track:5FTz9qQ94PyUHETyAyfYZN,0.738,0.541,1,-5.485,1,0.0311,0.5589999999999999,0.0,0.0492,0.309,134.187,387573,4,32.16853,16,1,5FTz9qQ94PyUHETyAyfYZN,5TDVKqW9uhqGjwwwKGuma4,bubblegum dance,electropop,electropop,girl group
2,Soul Sermon,Gregg Karukas,spotify:track:6m24oe3lk1UMxq9zq4iPFi,0.736,0.419,0,-10.662,1,0.03,0.693,0.495,0.0809,0.265,93.98200000000001,237267,4,42.05369,9,0,6m24oe3lk1UMxq9zq4iPFi,5hmQC9wWiUuHCJNRZFBi2V,smooth jazz,0,0,0
3,Clarinet Marmalade - Live,Alton Purnell,spotify:track:5FOXuiLI6knVtgMUjWKj6x,0.565,0.594,5,-13.085999999999999,1,0.0646,0.655,0.9259999999999999,0.675,0.763,114.219,375933,4,80.99693,10,0,5FOXuiLI6knVtgMUjWKj6x,09vMU1DuWgjxRynGM5sXcW,new orleans jazz,0,0,0
4,До смерті і довше - Drum & Base and Rock Remix,Skryabin,spotify:track:6CxyIPTqSPvAPXfrIZczs4,0.513,0.76,4,-10.077,1,0.0355,1.7199999999999998e-05,0.00339,0.153,0.961,153.166,430653,4,25.57331,20,0,6CxyIPTqSPvAPXfrIZczs4,5RqIkHQnXRZlm1ozfSS1IO,russian rock,ukrainian pop,ukrainian rock,0
5,Cuspa Cerveja...,Os Pedrero,spotify:track:6IYGvJanVieBEtJaO4IGfc,0.166,0.985,2,-4.529,1,0.11900000000000001,0.147,0.179,0.54,0.609,170.045,65667,4,28.13311,4,0,6IYGvJanVieBEtJaO4IGfc,20AgDgpylgasUMPZ8l5xEw,brazilian hardcore,brazilian metal,brazilian punk,brazilian punk rock
6,Baby-Baby-Baby,TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.0006730000000000001,0.0487,0.9,184.174,315040,4,20.93007,15,1,1zTuB57LYZa7xu7KUH8kF0,0TImkz4nPqjegtVSMZnMRq,atl hip hop,dance pop,girl group,hip hop
7,I Missed The Bus,Kris Kross,spotify:track:793gh4IXh7mQsMBhvcJRlt,0.8109999999999999,0.634,4,-10.408,0,0.0714,0.00469,0.00943,0.22399999999999998,0.273,107.915,179160,4,54.7873,9,1,793gh4IXh7mQsMBhvcJRlt,2zrZfs23sjuHDv4E6YRmNf,hip hop,new jack swing,rap,0
8,The Comfort Zone,Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,0.528,0.23399999999999999,3,-15.784,1,0.0283,0.6409999999999999,0.0,0.183,0.191,95.911,218733,4,46.33298,10,1,7okbmgA8lRBGl5limZ7LFM,75L9s8KVrhCNtBUkZFnDFW,quiet storm,urban contemporary,0,0
9,Hardcore Rules,25 Ta Life,spotify:track:75UjNrkncJ1idxVzlxkxLW,0.207,0.9890000000000001,6,-5.564,1,0.218,0.000118,0.134,0.2,0.32299999999999995,200.465,80987,4,49.52643,3,0,75UjNrkncJ1idxVzlxkxLW,3amFG2AzKgYyY7jBHuHuew,beatdown,hardcore,nyhc,straight edge
